,Intervention on gene 1
RNAi,644
e1370,338
OE,102
pk1426,96
e2141,93
mu86,86
ad1116,74
b26;mu150;hc17,72
e1368,66
b26;hc17,59
qm150,57
pk924,56
mgDf47,55
ad465,52
b26; hc-17,48
pk1426;mgDf47,47
ad609,44
mgDf47;pk1426,38
ok434;pk1426,35
ms23,32
ia4,31
ot1,30
gk138,27
ok524,27
mgDf50,26
mu86;e1370,24
pk1426; m577,23
ok1255,23
zu67,23
tm1714,21
tm1452,20
ok769;ad609,19
tm3188,19
qm30,18
sy441,18
e2519,18
e1370;ok1255,17
m26,17
hd20;hd126,16
ok1251,16
mu150;b26;hc17,15
ok434,15
rh41rh411,15
mg306,15
cxTi9279,15
m577,13
qm38,12
hx546,12
hd20;hd126;RNAi,11
ne219,11
ok198,11
tm6659;e1370,10
e2141ts,10
ok589,10
mgDf90,9
gm150,9
mgDf47; zu67,9
bn18,9
nr2041,9
pk1426; e1370,9
ad465;hd20;hd126,8
sv31,8
mu150,8
tm5030;e1370,7
rh50,7
qm162,7
ok1207,7
tm6659;e2141,7
ok1030,7
bn7,6
tm1818,6
qm150;n1162,6
rf,6
qm200;n1162,6
rh61rh411,6
cg116,6
e1370; tm1714,6
qm200,6
n1084n3082,6
m81;e138,6
smk-1 RNAi,6
tm1011,6
ok538,6
tm5032;e1370,6
n2259,6
ar202,6
sv32,6
hx546;b26,5
pk349,5
ok999,5
ok328,5
tm2658,5
ky289,5
ok186,5
ia04,5
215F,5
gk270,5
ok849,5
b26;hc17;mu150,5
rr48,5
it57,5
ok161,5
fc21,5
kn1,5
ok165,5
ok1744,5
tm1108,5
daf-16 RNAi,5
e1365,4
n1540,4
lg601,4
tm1422,4
ok1494,4
pk1417,4
ok525,4
ok837,4
n1162,4
wuIs151;wuIs151;wuIs151,4
tm1978,4
gk138;qm150,4
gf,4
wuIs152,4
zu169,4
pkls539,4
e1368; ok2710,4
ok1474,4
tm2984,4
ad1113,4
gk186,4
tm2990,4
tm1530,4
tm5032;e2141,4
ad1116;RNAi,4
bn17,3
pk15,3
tm5030;e2141,3
mg344,3
pk1426;e1368,3
tm1246,3
ok393,3
ad1116;pk1426,3
tm420,3
e1406,3
ok559,3
n487,3
gk101,3
mu86;ad609,3
zu135,3
e912,3
ok386,3
mgDf50;ok434,3
mgdf50,3
ft15,3
ok485,3
geIn3,3
n2433,3
gk3094,3
n1605,3
m79,3
cc546,3
e246,3
m596,3
tm1724,3
xuEx1266,2
v33,2
km25,2
d465,2
e1390,2
nr2037,2
ade465,2
m81; e1282,2
tm5539,2
tm339,2
ok799;e1370,2
mg142,2
sa307,2
ok424,2
e1368;zu135,2
xuEx601,2
zu225,2
b26,2
sa709,2
pkIs540,2
s69,2
ok1396,2
wa36,2
ia3,2
p675,2
e1375,2
sj173,2
oy21,2
pk18,2
e1370;zc12,2
e2400,2
bp283,2
m130,2
m27,2
m577; tm5539,2
ok2165,2
e1386,2
tm760,2
sc13; mg44,2
tm420; wa36,2
KD,2
tm331,2
tm420; tm331,2
ju145,2
zu225;cc546,2
e1370;mgdf90,2
bn2ts,2
pk1426;e1370,2
tm1516,2
e450,2
tm783,2
sa191,2
ok3091,2
pk1426;zu129,1
ky10;ak47,1
zls3000,1
e1490,1
mg329,1
ad1116; pk1426,1
pk3321,1
n498;n1186,1
kn-1,1
p813,1
tm1907; tm339,1
cc546; zu225,1
mg338,1
p802,1
xuEx606,1
qm150; qm189,1
pk1426;zu67,1
RNAi;ok393,1
sj134,1
e408,1
tm2416,1
tm1530;e1370,1
mg44,1
pk1426;zu135,1
ky10,1
ok169,1
ok1947,1
sa680,1
e1372,1
m20,1
ok593,1
ad1116; RNAi,1
lg12501,1
hx546;tm1108,1
vp1,1
e1370;tm1108,1
tm3036,1
mg348,1
pk298te,1
e1370;mgDf47,1
e928,1
tm1907,1
e450;mu86,1
pkIs539,1
mg198,1
tm1994,1
b26; ok198,1
km4,1
ag3,1
s69; mu86,1
lf,1
tm311,1
op236,1
mgDf50; b26,1
mg345,1
gk-7,1
nr2004,1
bp283;e1370,1
tm1994; ok524,1
ok691,1
