,0
ia04,14
sa307,22
v33,3
ok1255,73
ok524,46
ar202,12
tm1011,6
e1370,737
ad465,52
tm1818,12
e1368,64
mu150,47
qm150,182
ad1116,58
pk1426,60
zu67,49
zu129,9
zu135,27
mu86,156
ok525,6
ok393,13
ok538,15
ok434,46
ok589,10
e2141,64
m596,6
tm420,1
tm3188,35
mg306,44
mg338,2
m577,43
mgDf50,14
vp1,5
ade465,2
mgdf50,3
e1390,2
e1386,2
mgdf90,2
ad1113,7
kn1,2
fc21,13
qm30,30
zu169,2
ok2165,2
ok186,7
ok1396,2
ju145,2
ia3,2
ok3091,2
pk18,2
sy441,21
ne219,7
nr2041,24
m130,2
ft15,10
pk924,89
cg116,10
zu225,2
hx546,32
b26,18
ad609,138
ok769,88
215F,10
xuEx601,19
xuEx606,2
mgDf47,255
xuEx1266,8
oy21,4
n498,2
n1186,2
ok999,12
gk-7,2
ok328,8
tm1422,4
pk1417,4
bp283,6
e1406,6
m81,10
e1282,8
tm311,1
tm1530,8
tm1516,6
tm1978,10
sv31,4
p813,3
cxTi9279,15
gm150,9
bn17,3
m79,7
n1540,8
km25,5
sa191,4
mg198,1
tm1907,3
tm339,7
ag3,1
ok593,1
ok169,1
km4,1
tm3036,1
e408,1
n2259,5
op236,1
bn2ts,2
ok161,44
nr2037,4
zls3000,1
sa680,2
sc13,4
mg44,6
e2519,30
tm2984,4
tm2990,4
ok837,4
ok1207,14
ok1474,10
e2141ts,58
ky10,3
ak47,9
ok198,14
bn18,9
ok1251,11
rr48,5
tm1994,2
it57,5
ky289,5
gk270,5
ok849,5
ok691,1
tm1714,35
ok485,4
rh50,11
ok165,4
tm2658,10
tm5539,13
ms23,64
ia4,82
ok559,9
gk186,4
n487,3
gk138,54
lg12501,1
ok1947,2
e246,7
s69,6
e450,7
hc17,8
e138,7
ok1494,4
p675,4
bn7,6
rh61rh411,3
qm200,42
m26,32
qm38,20
e2400,12
gk3094,3
tm1108,9
tm2416,2
e1372,11
e1365,4
sa709,4
mg142,4
wuIs152,4
n1162,36
n1084n3082,24
sv32,24
kn-1,1
mg344,9
mg345,2
mg348,4
mg329,8
qm189,39
d465,8
e928,6
lg601,12
nr2004,5
e912,4
tm1724,6
pk15,11
pkls539,8
pk349,11
pkIs540,3
n1605,22
KD,8
mgDf90,12
ot1,6
ok1744,13
sj134,4
sj173,4
gk101,10
ok1030,24
tm760,12
tm1246,10
tm783,14
m634,1
tm1452,5
zc12,16
ok799,22
ok551,2
ok275,8
tm3411,2
mg455,9
mg337,6
tm2447,4
it47ts,2
ok2916,4
ok3235,4
e1375,5
ok232,16
we3,4
mg44d,1
xuEx913,10
xuEx916,4
xuEx619,2
e1376,2
m20,5
ok1387,24
mg144,3
gk7,2
km2,2
ks54,2
n4426,10
pk1255,2
ut187,4
mg227,2
tm1146,2
ok1558,2
ok1733,2
gk15,2
qm37,20
qm151,2
qm152,2
qm159,2
qm162,2
qm164,2
qm169,2
tm2308,2
wuIs156,2
p811,4
ft1,2
ft4,2
m86,2
p802,3
p678,2
lpIn1,1
bn2,4
e1369,2
e979,2
n179,3
m184,2
pk298te,9
pkIs539,5
geIn3,1
lpEx21,1
lpEx22,1
h98,1
e61,1
ok306,4
qm130,1
mg305,2
mg450,4
mg451,4
mg54,1
tm5030,1
tm5032,1
m25,1
ks28,4
m27,4
ok2710,2
gf,4
rf,6
